GEOID,Name,State_abbr,Spatial_Level,Heating_Delivered_Fuel,Heating_Electric,Division_Electric_Pct_Heat_Pump,Energy_Burden_Pct_Income,hvac_energy_intensity,upgrade_annual_spend_delta,kg_co2e_emissions_saved,Total_New_Units,Residential_Solar_Generation_Potential,Pct_Solar_Install
02013,"Aleutians East Borough, Alaska",AK,County,895,75,0.1047169811320754,0.0458999999999999,,634071.0586064259,1587564.854184529,0.6666666666666666,,
02016,"Aleutians West Census Area, Alaska",AK,County,1214,51,0.1047169811320754,0.0574,,866441.8178394254,2144158.365920446,6.666666666666667,,
02020,"Anchorage Municipality, Alaska",AK,County,4231,15676,0.1047169811320754,0.025694339622641497,,24078415.360000327,45192919.49289934,1065.6666666666667,,
0203000,"Anchorage municipality, Alaska",AK,Place,4231,15676,0.1047169811320754,0.025790967498110332,,24078415.360000327,45192919.49289934,1065.6666666666667,0.0,
02050,"Bethel Census Area, Alaska",AK,County,3980,122,0.1047169811320754,0.07399999999999997,,2005479.182159669,5475961.157039993,26.333333333333332,,
0206520,"Bethel city, Alaska",AK,Place,1935,30,0.1047169811320754,0.0366999999999999,,731999.9014882791,1998725.8223195975,26.333333333333332,0.0,
02060,"Bristol Bay Borough, Alaska",AK,County,268,0,0.1047169811320754,0.056600000000000004,,170756.08949365484,451980.33537336695,8.666666666666666,,
02063,"Chugach Census Area, Alaska",AK,County,1885,58,0.1047169811320754,,,,,,,
02066,"Copper River Census Area, Alaska",AK,County,657,12,0.1047169811320754,,,,,,,
02068,"Denali Borough, Alaska",AK,County,485,9,0.1047169811320754,0.0484999999999999,,225526.80548762417,585286.4327562373,,,
02070,"Dillingham Census Area, Alaska",AK,County,1289,40,0.1047169811320754,0.07979999999999995,,739364.6359505372,1959823.4700463302,1.3333333333333333,,
02090,"Fairbanks North Star Borough, Alaska",AK,County,26320,3685,0.1047169811320754,0.0325157894736842,,12047389.917160843,32535524.342876907,36.0,,
0224230,"Fairbanks city, Alaska",AK,Place,6442,2297,0.1047169811320754,0.03414283270194303,,3862393.2074417663,10430889.104326336,0.0,0.0,
02100,"Haines Borough, Alaska",AK,County,439,8,0.1047169811320754,0.039,,433204.72307277663,1082330.1497237652,14.0,,
0233140,"Homer city, Alaska",AK,Place,833,187,0.1047169811320754,0.04394459999999999,,612393.8162547396,1374055.9284510228,91.66666666666667,0.0,
02105,"Hoonah-Angoon Census Area, Alaska",AK,County,424,22,0.1047169811320754,0.0550999999999999,,342362.13094845746,841785.2777348165,13.333333333333334,,
02110,"Juneau City and Borough, Alaska",AK,County,7561,4068,0.1047169811320754,0.025516666666666618,,6965845.461764081,15727275.958649006,141.33333333333334,,
0236400,"Juneau city and borough, Alaska",AK,Place,7561,4068,0.1047169811320754,0.025453839999999957,,6965845.461764081,15727275.958649006,,0.0,
02122,"Kenai Peninsula Borough, Alaska",AK,County,6378,1767,0.1047169811320754,0.05589999999999998,,7006794.236324252,15721463.712254265,174.33333333333334,,
0238420,"Kenai city, Alaska",AK,Place,84,347,0.1047169811320754,0.0356999999999999,,716795.050375971,1608305.7377636114,19.0,0.0,
02130,"Ketchikan Gateway Borough, Alaska",AK,County,2645,2018,0.1047169811320754,0.030925,,3177514.7451610253,6851801.100420696,76.33333333333333,,
0238970,"Ketchikan city, Alaska",AK,Place,1374,1506,0.1047169811320754,0.03125745,,1840098.7889227497,3967878.0172536247,,0.0,
02150,"Kodiak Island Borough, Alaska",AK,County,3018,457,0.1047169811320754,0.03808,,2593047.3597909384,6222066.220134904,27.666666666666668,,
0240950,"Kodiak city, Alaska",AK,Place,1220,214,0.1047169811320754,0.03612103999999999,,1011288.4703184661,2426605.8258526125,27.666666666666668,0.0,
0241830,"Kotzebue city, Alaska",AK,Place,855,0,0.1047169811320754,0.0405,,203085.3962913164,629320.3185278093,15.333333333333334,0.0,
02158,"Kusilvak Census Area, Alaska",AK,County,1395,22,0.1047169811320754,,,731094.8054631455,1967508.1123656589,0.0,,
02164,"Lake and Peninsula Borough, Alaska",AK,County,329,12,0.1047169811320754,0.1009,,231473.83483743563,604508.6718813395,,,
02170,"Matanuska-Susitna Borough, Alaska",AK,County,4758,2124,0.1047169811320754,0.049949999999999994,,7572897.213894037,16086730.33856155,109.0,,
02180,"Nome Census Area, Alaska",AK,County,2547,59,0.1047169811320754,0.0452,,1277515.683741826,3528847.1852389094,10.333333333333334,,
0254920,"Nome city, Alaska",AK,Place,1165,37,0.1047169811320754,0.0452,,465143.46045039885,1284853.2601454868,10.333333333333334,0.0,
0255910,"North Pole city, Alaska",AK,Place,847,197,0.1047169811320754,0.0333,,283113.6630532798,764584.8220576074,36.0,0.0,
02185,"North Slope Borough, Alaska",AK,County,569,70,0.1047169811320754,0.0536,,306821.33272689144,604898.9688117037,18.333333333333332,,
02188,"Northwest Arctic Borough, Alaska",AK,County,1555,22,0.1047169811320754,0.06595,,540408.1859800862,1674615.004065485,19.0,,
0258660,"Palmer city, Alaska",AK,Place,75,324,0.1047169811320754,0.03672254,,356683.45877440914,757684.998946249,47.0,0.0,
02195,"Petersburg Borough, Alaska",AK,County,572,519,0.1047169811320754,0.0395,,706015.0735674226,1517608.0594751807,19.666666666666668,,
02198,"Prince of Wales-Hyder Census Area, Alaska",AK,County,1002,313,0.1047169811320754,0.04914999999999999,,1143507.2368823362,2516369.57934593,4.0,,
0268560,"Seward city, Alaska",AK,Place,684,159,0.1047169811320754,0.0441999999999999,,247339.83654224608,554967.6690425755,35.666666666666664,0.0,
02220,"Sitka City and Borough, Alaska",AK,County,1849,1449,0.1047169811320754,0.039850000000000003,,2233928.4193128278,4775981.0009660255,14.333333333333334,,
0270540,"Sitka city and borough, Alaska",AK,Place,1849,1449,0.1047169811320754,0.04016968,,2233928.4193128278,4775981.0009660255,,0.0,
02230,"Skagway Municipality, Alaska",AK,County,350,19,0.1047169811320754,0.0337,,191052.9918326795,488937.09940424236,8.333333333333334,,
0271640,"Soldotna city, Alaska",AK,Place,129,425,0.1047169811320754,0.036,,463149.0990210331,1039188.751380007,26.0,0.0,
02240,"Southeast Fairbanks Census Area, Alaska",AK,County,1339,35,0.1047169811320754,0.05019999999999995,,672402.3543116789,1805362.4718002344,,,
0280770,"Unalaska city, Alaska",AK,Place,1035,44,0.1047169811320754,0.0301,,505135.579800385,1250044.3273316198,6.666666666666667,0.0,
0281920,"Utqiaġvik city, Alaska",AK,Place,65,58,0.1047169811320754,,,181576.86470777437,357979.2097427663,,0.0,
0282200,"Valdez city, Alaska",AK,Place,1270,22,0.1047169811320754,,,0.0,0.0,20.666666666666668,0.0,
0283080,"Wasilla city, Alaska",AK,Place,115,440,0.1047169811320754,0.04213437656234376,,573268.3190917786,1217765.4866291094,50.0,0.0,
02275,"Wrangell City and Borough, Alaska",AK,County,282,559,0.1047169811320754,0.0349,,528920.7148210102,1057445.6504394715,7.333333333333333,,
0286380,"Wrangell city and borough, Alaska",AK,Place,282,559,0.1047169811320754,0.0349,,528920.7148210102,1057445.6504394715,7.333333333333333,0.0,
02282,"Yakutat City and Borough, Alaska",AK,County,194,1,0.1047169811320754,0.0559,,124213.26983044663,317450.56114255846,11.666666666666666,,
02290,"Yukon-Koyukuk Census Area, Alaska",AK,County,863,12,0.1047169811320754,0.082125,,391646.99948681524,1099754.4902132063,1.3333333333333333,,
0100124,"Abbeville city, Alabama",AL,Place,0,966,0.3621016691957511,0.05020319999999989,5.435305463135268,524517.8636299866,1337131.7361006648,0.0,5517.747616000001,4.899405685093657e-05
0100460,"Adamsville city, Alabama",AL,Place,17,724,0.3621016691957511,0.05657534,8.299100634217787,972439.1252921108,2874245.8794371816,0.0,8252.905856000001,4.895701895067587e-05
0100820,"Alabaster city, Alabama",AL,Place,164,7710,0.3621016691957511,0.029510323980778172,6.250241604944463,6111964.160466867,17564600.176000305,186.0,64315.558618,4.899405685093657e-05
0100988,"Albertville city, Alabama",AL,Place,46,4892,0.3621016691957511,0.03450879191195287,8.225988095214994,3955769.75894062,10713096.312185766,73.0,39584.208951,4.899405685093657e-05
0101132,"Alexander City city, Alabama",AL,Place,194,4359,0.3621016691957511,0.04815508474576271,7.067014921780282,3045561.6976111033,7708027.640298443,76.66666666666667,27248.259060000004,4.899405685093657e-05
0101708,"Andalusia city, Alabama",AL,Place,25,2080,0.3621016691957511,0.04187930999999998,7.543924685522016,2086202.3480951933,5466367.734679707,28.0,24049.395531,4.899405685093657e-05
0101852,"Anniston city, Alabama",AL,Place,145,4040,0.3621016691957511,0.059778125938532385,7.504605812271053,5461594.400341368,14933316.375895763,2.6666666666666665,50545.007747999996,4.899405685093657e-05
0102116,"Arab city, Alabama",AL,Place,73,1898,0.3621016691957511,0.031155947063689,8.228520010959256,1821308.095524238,4931327.810435223,55.333333333333336,18228.329193,4.899405685093657e-05
0102320,"Argo town, Alabama",AL,Place,0,939,0.3621016691957511,0.029600000000000005,6.978426374645437,796000.1761945675,2135018.3283255,,8115.126486,4.899344202179224e-05
0102956,"Athens city, Alabama",AL,Place,103,7525,0.3621016691957511,0.0336771647307286,8.123946718429545,4746644.192302403,12309234.708990078,809.6666666666666,55367.31078,4.899405685093657e-05
0103004,"Atmore city, Alabama",AL,Place,24,2525,0.3621016691957511,0.053378449999999966,6.300660798315677,1562280.1555221519,4100188.510854741,10.666666666666666,16460.51085,4.899405685093657e-05
0103028,"Attalla city, Alabama",AL,Place,11,1256,0.3621016691957511,0.06549815498154982,9.223778785371385,1360203.5101478714,3777378.3531236853,20.666666666666668,13728.114378,4.899405685093657e-05
0103076,"Auburn city, Alabama",AL,Place,383,19274,0.3621016691957511,0.036097800776196634,6.668137905700456,14932061.82916432,39884730.25176017,1907.3333333333333,122020.23134000001,4.899405685093657e-05
01001,"Autauga County, Alabama",AL,County,1981,11772,0.3621016691957511,0.03469999999999999,7.525045302458469,13376559.981042795,36445040.90526088,567.3333333333334,122752.69,4.899405685093657e-05
