GEOID,Spatial_Level,Total_Population,Total_Households
0282200,Place,3865,1519
0283080,Place,10469,3730
0258660,Place,7359,2104
0281920,Place,4354,1360
0236400,Place,32099,12878
0240950,Place,5983,1680
0224230,Place,31427,11175
0255910,Place,2969,1111
0206520,Place,6548,2026
0241830,Place,3283,922
0286380,Place,2510,989
0270540,Place,8569,3572
0238970,Place,8230,3216
0271640,Place,4705,1883
0233140,Place,5830,2408
0238420,Place,7799,2945
0268560,Place,2812,926
0280770,Place,4758,1107
0254920,Place,3869,1251
0203000,Place,292090,106970
0132416,Place,8531,3178
0100988,Place,21620,7210
0124568,Place,11878,4773
0115376,Place,2853,613
0111032,Place,2902,1035
0176872,Place,2593,861
0167056,Place,9803,3104
0163576,Place,3125,1371
0107912,Place,9587,3618
0157000,Place,6550,2781
0127616,Place,14063,5407
0163336,Place,5038,2023
0122216,Place,3093,1027
0113648,Place,3581,1616
0109208,Place,5210,1990
0103004,Place,9269,2824
0135896,Place,85386,32551
0151648,Place,3008,965
0177880,Place,3465,1171
0169120,Place,17762,7572
0178232,Place,3627,1292
0138608,Place,2658,977
0115136,Place,8719,3399
0168736,Place,14452,5822
0120104,Place,54344,22345
0133424,Place,2584,985
0129464,Place,4292,1899
0101132,Place,14515,5808
0119336,Place,3056,1221
0181720,Place,8282,3061
0120296,Place,6724,2952
0176920,Place,18995,6975
0159760,Place,9745,3437
0151000,Place,199054,79331
0102956,Place,26686,9709
0145784,Place,50717,20111
0150192,Place,5812,2287
0102320,Place,4294,1498
0133448,Place,14421,5453
0162472,Place,3682,1181
0113672,Place,2627,892
0109136,Place,4768,1403
0121184,Place,68608,26681
0146768,Place,3196,832
0102116,Place,8405,3173
0169648,Place,8925,4118
0177280,Place,8445,3244
0153016,Place,14379,5517
0137465,Place,2618,845
0116768,Place,4602,1560
0150312,Place,6829,2361
0114104,Place,13599,4442
0158848,Place,23707,9262
0100820,Place,33373,11751
0165208,Place,6776,2490
0157144,Place,6130,3026
0104660,Place,9297,2812
0171976,Place,8991,3383
0144608,Place,2767,953
0132272,Place,12550,6059
0125240,Place,22035,8258
0119648,Place,26578,10608
0126992,Place,19337,8674
0157648,Place,14350,5837
0119360,Place,5125,2215
0124664,Place,2643,1138
0156400,Place,3705,1329
0146696,Place,4905,1392
0172600,Place,4430,1817
0151096,Place,13004,5047
0158896,Place,14081,5929
0160648,Place,7108,2605
0100460,Place,4266,1583
0139856,Place,3551,1191
0113264,Place,15971,5795
0179944,Place,3197,1449
0128552,Place,9247,3903
0151696,Place,20178,7538
0105980,Place,26063,11084
0134024,Place,18631,6586
0109400,Place,2873,1263
0125120,Place,10749,4372
0148376,Place,4984,1968
0136448,Place,15446,5612
0137864,Place,13068,5499
0115256,Place,9936,3620
0174976,Place,6216,2478
0129056,Place,14021,5374
0135800,Place,25170,9551
0161008,Place,9625,3668
0157576,Place,21282,7786
0155200,Place,25970,9813
0177256,Place,100633,36749
0140928,Place,2569,814
0143720,Place,3286,1218
0175960,Place,3876,1576
0138152,Place,4731,1814
0140672,Place,2922,1151
0178204,Place,9195,3686
0141296,Place,6220,2603
0129992,Place,5125,1997
0125840,Place,4329,1819
0143264,Place,2501,1040
0176944,Place,22590,8093
0141968,Place,12555,4613
0178552,Place,34482,13029
0171832,Place,8801,3010
0107000,Place,210928,91598
0171190,Place,5821,2082
0103076,Place,65508,24386
0157048,Place,30589,12240
0123296,Place,3874,1390
0124808,Place,3591,1474
0103028,Place,5885,2245
0128696,Place,35224,13740
0135392,Place,4253,1756
0132224,Place,2684,897
0132848,Place,6662,2699
0163288,Place,9601,3643
0165040,Place,5931,2362
0111416,Place,14327,5257
0173848,Place,2514,1081
0138416,Place,13584,5129
0132704,Place,4139,1423
0175096,Place,2742,883
0148712,Place,16037,6153
0114464,Place,4872,2047
0143120,Place,6805,2556
0174592,Place,15405,5645
0174352,Place,12132,5195
0126896,Place,40652,17493
0154168,Place,2881,952
0101708,Place,8719,3394
0157120,Place,6405,2802
0159472,Place,36461,15329
0177304,Place,8443,3180
0182992,Place,4443,1520
0118976,Place,16072,6632
0132968,Place,3377,1386
0130496,Place,2870,848
0100124,Place,2572,1054
0133856,Place,4684,1662
0168352,Place,6163,2163
0114392,Place,5757,2139
0115064,Place,3919,1371
0169240,Place,5780,2640
0162496,Place,21618,7409
0168160,Place,14561,5626
0150000,Place,189994,78089
0131720,Place,2956,1127
0174688,Place,4818,1993
0137000,Place,199845,86961
0133976,Place,3453,1291
0144728,Place,2742,922
0151600,Place,3237,1384
0162328,Place,36599,14271
0138272,Place,12796,5099
0180352,Place,3066,1077
0101852,Place,21518,9273
0159640,Place,4549,1851
0131912,Place,7478,2310
0124184,Place,28170,10908
0516240,Place,4890,1986
0529500,Place,2647,1119
0519990,Place,3850,1659
0542770,Place,3748,1657
0513450,Place,4883,2171
0549580,Place,7552,2434
0553390,Place,28821,11032
0502860,Place,3698,1284
0541420,Place,4206,1786
0510300,Place,26376,10066
0573130,Place,5195,1796
0521730,Place,2713,1041
0517380,Place,4541,1573
0548560,Place,4359,1768
0571960,Place,4556,1384
0528510,Place,5592,2143
0515190,Place,66776,24789
0533580,Place,2610,1182
0572890,Place,5104,1993
0574540,Place,24656,9991
0544180,Place,12371,4684
0569740,Place,4341,1746
0574360,Place,2622,944
0527670,Place,2528,740
0523170,Place,7166,2579
0535500,Place,3719,1475
0521190,Place,3283,1238
0557170,Place,6236,2385
0523290,Place,86622,35716
0571480,Place,23600,9150
0500970,Place,5816,2093
0527700,Place,3188,1193
0543820,Place,3340,1162
0507330,Place,13735,5783
0552580,Place,6786,2725
0521070,Place,17826,7065
0546970,Place,6638,2812
0531190,Place,10487,4349
0515460,Place,3092,1429
0555130,Place,3579,1525
0572380,Place,3379,1420
0563710,Place,4919,2011
0577090,Place,7773,3037
0561670,Place,29227,9824
0556990,Place,3252,1068
0502590,Place,3031,1136
0512340,Place,4859,1571
0526290,Place,3963,1544
0564370,Place,17031,5649
0504840,Place,28819,11796
0541720,Place,9433,3372
0560410,Place,67787,24508
0505740,Place,2737,754
0540120,Place,2776,1149
0554200,Place,5960,2746
0505320,Place,52070,19178
0512820,Place,15345,5608
0528360,Place,3456,1242
0503640,Place,4957,2143
0524550,Place,87788,36347
0528780,Place,9392,3734
0514140,Place,9661,3629
0518790,Place,3046,1275
0567490,Place,8617,3481
0533190,Place,9668,3540
0544120,Place,3472,1459
0510720,Place,10877,4264
0552970,Place,3618,1401
0573310,Place,5596,2156
0533970,Place,2544,813
0556540,Place,6582,2754
0537780,Place,2556,1077
0509100,Place,3491,1437
0535710,Place,77391,30123
0518490,Place,6499,1998
0524220,Place,3748,1315
0530460,Place,13124,5663
0547390,Place,12463,5958
0526050,Place,2515,910
0546580,Place,9392,3769
0557260,Place,2995,1219
0575170,Place,5017,1674
0555310,Place,42323,16808
0514260,Place,2538,1052
0500580,Place,3263,1101
0563020,Place,23673,8166
0503280,Place,2868,1113
0504600,Place,8131,3020
0543460,Place,11537,4053
0543610,Place,10886,3670
0502380,Place,4415,1790
0563800,Place,31225,12547
0550450,Place,66079,28350
0541000,Place,198067,83525
0544600,Place,18193,7229
0534750,Place,28442,10642
0524430,Place,14062,4276
0533400,Place,38697,16614
0501870,Place,10670,3780
0531090,Place,7156,3051
0568810,Place,29864,11370
0547540,Place,2877,1206
0518520,Place,2807,905
0528600,Place,2805,828
0505560,Place,5594,2175
0530400,Place,2874,1015
0570010,Place,7000,2991
0508950,Place,2661,1232
0507720,Place,3822,1413
0553480,Place,3403,1465
0545170,Place,5524,2208
0530640,Place,4559,1321
0563470,Place,3914,1402
0509460,Place,20563,8100
0505290,Place,36360,13993
0566080,Place,80433,27093
0504030,Place,10749,4089
0565630,Place,3963,1560
0533370,Place,2692,1061
0466820,Place,43756,17817
0420050,Place,16292,4512
0406260,Place,5199,2645
0483090,Place,3507,1176
0405770,Place,4857,2321
0420960,Place,4910,1579
0468850,Place,5692,1746
0462350,Place,3507,953
0444270,Place,47164,17277
0451600,Place,45303,20039
0462140,Place,30679,10557
0477000,Place,545340,215943
0457380,Place,43463,19797
0457450,Place,45592,18977
0419145,Place,4123,1549
0409690,Place,11241,3830
0413890,Place,4367,2278
0416410,Place,12228,6103
0412840,Place,11362,5037
0465350,Place,10341,5179
0482740,Place,7708,3450
0414380,Place,3689,1121
0453070,Place,3174,970
0458010,Place,3756,2288
0471300,Place,3120,1395
0444410,Place,50358,15309
0410530,Place,57318,19016
0423760,Place,26777,4601
0415500,Place,13016,3600
0422360,Place,18306,3411
0412000,Place,257076,93887
0473000,Place,191607,76218
0425300,Place,25167,11408
0441330,Place,6228,2602
0474190,Place,7340,2249
0430270,Place,6572,1934
0410180,Place,3863,1918
0485400,Place,6837,2498
0452930,Place,14502,5798
0428380,Place,83519,27016
0465000,Place,254995,117974
0446000,Place,508918,186503
0411300,Place,5766,2990
0454050,Place,172109,62180
0407940,Place,74467,20443
0404720,Place,86091,26427
0471510,Place,139007,50199
0427400,Place,248349,79714
0455000,Place,1658422,580835
0427820,Place,250290,83083
0422220,Place,35702,10873
0473420,Place,5122,1610
0462000,Place,9707,3311
0455560,Place,2523,828
0408220,Place,40808,18014
0414870,Place,4873,715
0439370,Place,55463,25131
0437620,Place,30433,12582
0458150,Place,52162,15988
0485540,Place,97428,35344
0463470,Place,33875,8356
0468080,Place,16301,4702
0481480,Place,3091,1381
0402830,Place,41863,18277
0451810,Place,7551,2792
0423620,Place,73319,24466
0483160,Place,3234,1352
0428030,Place,7351,2974
0453700,Place,15708,7393
0467800,Place,5873,1696
0483930,Place,9505,2609
0433280,Place,5073,1620
0455980,Place,4409,1856
0466470,Place,11280,4502
0472420,Place,4255,1580
0449640,Place,20182,7129
0638520,Place,13845,3247
0664224,Place,156177,41296
0672520,Place,25667,3734
0630994,Place,17565,3755
0611250,Place,3789,1909
0654848,Place,15471,6977
0645778,Place,21966,7777
0630392,Place,8348,2166
0670742,Place,34063,10709
0648872,Place,28575,12373
0614946,Place,6111,2452
0685586,Place,5284,1460
0645358,Place,8263,3004
0617022,Place,6690,1906
0671225,Place,10235,3959
0669112,Place,65011,22644
0611040,Place,10090,4658
0670588,Place,12055,4779
0602042,Place,10479,4359
0659920,Place,92025,36365
0683668,Place,52398,14317
0622790,Place,7553,3008
0661026,Place,16049,5604
0675000,Place,311103,95236
0640704,Place,23863,5819
0642202,Place,66562,23017
0680238,Place,91462,27007
0645484,Place,81078,25670
0618100,Place,68640,24973
0686034,Place,7285,2383
0686328,Place,59759,20530
0684816,Place,53574,18356
0657540,Place,10954,4345
0673108,Place,22535,9552
0667000,Place,874784,362141
0664000,Place,503482,187683
0628112,Place,26235,8458
0659444,Place,74394,25364
0622020,Place,173370,53627
0624638,Place,79584,27717
0613588,Place,87665,33835
0601444,Place,2550,1164
0678582,Place,127648,46341
0658296,Place,21979,6718
0624092,Place,15631,4664
0672016,Place,125768,42902
0649138,Place,36443,11557
0654652,Place,207722,51020
0665042,Place,108467,40841
0610046,Place,68583,24429
0653476,Place,7613,2945
0670042,Place,30297,8994
0636980,Place,4844,2133
0636672,Place,7861,3380
0677392,Place,2638,1270
0602112,Place,3889,1775
0646898,Place,84081,26626
0603162,Place,30336,10090
0631568,Place,5748,2137
0641936,Place,8794,2442
0642006,Place,14392,3382
0644028,Place,39443,10799
0606798,Place,3747,2037
0686972,Place,66660,22958
0619612,Place,5266,1529
0630798,Place,12817,6356
0680588,Place,16666,6070
0650874,Place,3145,1431
0667126,Place,4025,919
0646828,Place,12173,2838
0638562,Place,12116,3754
0614274,Place,17252,4552
0614218,Place,112663,37726
0653000,Place,422575,160095
0606000,Place,123065,45884
0620018,Place,63856,20883
0600674,Place,20145,7661
0622594,Place,11679,6530
0681204,Place,75067,21723
0600562,Place,79827,30514
0633000,Place,158817,47467
0636084,Place,7084,1874
0625436,Place,6366,2035
0655856,Place,15645,3875
0670882,Place,24405,7225
0660242,Place,25710,7030
0638226,Place,14920,4113
0624134,Place,7772,2041
0667056,Place,26744,7419
0627000,Place,526147,170137
0656938,Place,11454,3821
0626000,Place,234829,74479
0668084,Place,90489,31274
0657792,Place,79975,27815
0650916,Place,48148,14356
0641992,Place,91763,32196
0654008,Place,10120,2682
0685012,Place,3631,1220
0646170,Place,12467,4572
0621796,Place,25280,10258
0683346,Place,69836,32163
0649187,Place,16896,5602
0668378,Place,81344,27524
0608142,Place,63013,20410
0617988,Place,44933,16499
0660620,Place,110051,37450
0602252,Place,111468,33803
0653070,Place,41656,12133
0639122,Place,25949,9470
0657456,Place,71723,21349
0613882,Place,11585,4010
0654232,Place,19461,7154
0657288,Place,19343,6792
0646114,Place,38397,14853
0657764,Place,34903,13762
0668294,Place,30959,9154
0633308,Place,26090,8980
0616000,Place,129227,46402
0650734,Place,4959,1959
0681344,Place,77348,26654
0630658,Place,12559,4380
0665000,Place,216784,59770
0613214,Place,82800,25874
0613210,Place,89170,23062
0659962,Place,71680,24582
0600296,Place,34238,7753
0602364,Place,73339,23936
0606434,Place,5302,2127
0680994,Place,26748,8416
0642370,Place,24239,9000
0648788,Place,40041,10564
0687042,Place,54358,18438
0604030,Place,23547,8166
0633588,Place,55339,15870
0682590,Place,122958,33742
0633434,Place,95163,27207
0653896,Place,178194,50599
0660466,Place,103549,26134
0614890,Place,54215,16467
0659451,Place,178060,57485
0687056,Place,21701,8645
0624680,Place,212704,55369
0660900,Place,3388,1458
0625296,Place,12135,4743
0623042,Place,26938,11216
0602476,Place,18266,6993
0641152,Place,25867,8803
0631960,Place,57339,18960
0603302,Place,13033,2752
0616224,Place,22078,3845
0654274,Place,7843,2703
0685684,Place,6053,2245
0686930,Place,3001,1395
0601640,Place,20256,5118
0664140,Place,6049,2866
0609892,Place,5346,1998
0650258,Place,78294,28232
0613945,Place,15329,5824
0639710,Place,4947,2140
0623168,Place,7629,3326
0670364,Place,7177,4144
0678666,Place,9167,3595
0668364,Place,59178,23703
0647710,Place,14456,6118
0664434,Place,12623,5224
0640438,Place,12363,5838
0616462,Place,9793,3823
0652582,Place,53781,21555
0660984,Place,9407,4637
0605290,Place,28158,11455
0681554,Place,99958,33026
0623182,Place,116544,36843
0675630,Place,29459,9293
0681666,Place,121275,41863
0619402,Place,20106,6676
0666000,Place,1414545,511662
0618506,Place,4331,2033
0611194,Place,114411,43107
0616378,Place,24526,8672
0636294,Place,27334,9361
0682996,Place,100659,30917
0622678,Place,62967,23893
0670224,Place,57407,19450
